How many times do you drink alcohol per week?,What is your preferred type of alcohol?,Approximately how much do you spend on alcohol per week? ,"On average, how many times a month do you say ""never again"" after drinking alcohol? ",How much did you spend on your last drink at a bar or club? 
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",10,1,50
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",20,0,7
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",1,0,5.5
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,1,6
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",3,0,6
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,1,0
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,0,0
2,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",25,3,8
0,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",0,0,20
0,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",0,0,10
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",1,2,60
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",5,0,7
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",10,0,17
2,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",0,4,0
3,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",20,1,7
2,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",10,0,7
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",14,2,7
0,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",0,0,20
2,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",15,0,1
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",10,0,0
3,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",30,0,2
3,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",15,4,14
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",1,0,6
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,1,12
3,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",10,10,7
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",15,2,8
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",30,1,120
3,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",15,0,38
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",5,0,9
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,0,0
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",0,0,5
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,0,10
1,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",10,0,0
5+,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",20,1,5
2,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",10,0,8
1,"Hard: 25% alcohol content or more (whiskey, vodka, tequila, etc.)",10,0,40
0,"Soft: 24% alcohol content or less (wine, beer, White Claw, etc.)",0,0,0
